tconst,Revenue,Budget,Production_Company
tt0107302,"$2,395,231",,Gramercy Pictures (I)
tt0107322,"$1,214,231",,Gramercy Pictures (I)
tt0107349,"$308,368",,Sony Pictures Classics
tt0107362,"$137,298,489","$85,000,000",Columbia Pictures
tt0107612,"$4,348,572",,New Line Cinema
tt0107614,"$441,286,195","$25,000,000",Twentieth Century Fox
tt0107688,"$101,684,438",,Walt Disney Studios Motion Pictures
tt0107711,"$22,189,039",,Columbia Pictures
tt0107719,"$2,119,994","$19,000,000",Warner Bros.
tt0107616,"$22,549,338","$11,000,000",The Samuel Goldwyn Company
tt0107750,"$3,283,371",,Twentieth Century Fox
tt0107779,"$44,159",,Alliance Atlantis Vivafilm
tt0107798,"$195,268,056",,Warner Bros.
tt0108160,"$227,927,165","$21,000,000",TriStar Pictures
tt0108162,"$116,300,000",,Paramount Pictures
tt0107808,"$135,130,999",,Warner Bros.
tt0107818,"$206,678,440","$26,000,000",TriStar Pictures
tt0108171,"$18,994,653",,TriStar Pictures
tt0107819,"$2,970",,Trimark Pictures
tt0107745,"$6,582,052",,Twentieth Century Fox
tt0108526,"$9,317,021",,Universal Pictures
tt0107659,"$27,979,399",,New Line Cinema
tt0107665,"$15,185,672",,Columbia Pictures
tt0107630,"$27,804,899",,Columbia Pictures
tt0112389,"$669,276","$25,000,000",Miramax
tt0107626,"$3,335,984",,Walt Disney Studios Motion Pictures
tt0107617,"$1,700,992",,First Look International
tt0107653,"$1,797,195",,New Line Cinema
tt0104299,"$17,129,026",,Warner Bros.
tt0104694,"$132,440,069","$40,000,000",Sony Pictures Releasing
tt0104695,"$23,369,283",,Paramount Pictures
tt0104291,"$127,956,187",,Warner Bros.
tt0104321,"$1,342,613",,IRS Media
tt0104346,"$9,223,441",,Columbia Pictures
tt0104348,"$10,725,228",,New Line Cinema
tt0104670,"$14,796,494",,Paramount Pictures
tt0104647,"$21,142,815",,Universal Pictures
tt0104201,"$279,627",,IRS Media
tt0104779,"$1,862,805",,Fine Line Features
tt0104627,"$923,418",,Republic Pictures (I)
tt0104187,"$40,693,477",,Walt Disney Studios Motion Pictures
tt0104231,"$137,783,840","$60,000,000",Universal Pictures
tt0104350,"$1,253,106",,The Samuel Goldwyn Company
tt0104237,"$7,532,911",,New Line Cinema
tt0104691,"$75,505,856","$40,000,000",Twentieth Century Fox
tt0104254,"$32,710,894",,Twentieth Century Fox
tt0104257,"$243,240,178","$41,000,000",Columbia Pictures
tt0104265,"$28,590,665",,Warner Bros.
tt0104765,"$1,014,726",,Orion Pictures
tt0104756,"$7,286,388",,Universal Pictures
tt0104466,"$10,555,619",,TriStar Pictures
tt0104431,"$358,994,850",,Twentieth Century Fox
tt0104437,"$58,662,452",,Walt Disney Studios Motion Pictures
tt0104438,"$35,208,854","$25,000,000",Columbia Pictures
tt0104452,"$94,900,635",,Universal Pictures
tt0104454,"$26,341,736",,Sony Pictures Classics
tt0104522,"$4,790,801",,Miramax
tt0104467,"$24,672",,Metrograph Pictures
tt0104503,"$256,249",,Triton Pictures
tt0104663,"$931,280",,The Samuel Goldwyn Company
tt0104507,"$5,603,158",,Sony Pictures Classics
tt0104511,"$4,943,279",,Warner Bros.
tt0104549,"$11,390,479",,Paramount Pictures
tt0104692,"$32,100,816","$10,000,000",New Line Cinema
tt0104376,"$3,721,911",,Walt Disney Studios Motion Pictures
tt0104658,"$28,540",,Kino International
tt0104377,"$114,516",,Man Ray Assoc
tt0104389,"$88,036,683",,Walt Disney Studios Motion Pictures
tt0104573,"$20,146,880",,Paramount Pictures
tt0104753,"$22,765",,The Film Desk
tt0104714,"$321,731,527","$35,000,000",Warner Bros.
tt0104409,"$12,534,961",,Miramax
tt0104558,"$16,270,600",,Miramax
tt0104412,"$19,507,345",,Columbia Pictures
tt0104427,"$29,302,121",,Twentieth Century Fox
tt0103783,"$8,442,162",,Paramount Pictures
tt0103747,"$19,930,973",,Universal Pictures
tt0103616,"$769,983",,Sony Pictures Classics
tt0103617,"$2,517,600",,New Line Cinema
tt0103639,"$504,050,219","$28,000,000",Walt Disney Studios Motion Pictures
tt0103644,"$159,814,498","$50,000,000",Twentieth Century Fox
tt0103670,"$384,048",,Triton Pictures
tt0103671,"$13,086,430",,Universal Pictures
tt0103759,"$2,038,916",,Aries Films
tt0103767,"$1,332,110",,The Samuel Goldwyn Company
tt0103772,"$352,927,224","$49,000,000",TriStar Pictures
tt0103776,"$266,934,688","$80,000,000",Warner Bros.
tt0103786,"$147,214,049",,Universal Pictures
tt0103791,"$5,418,216",,Sony Pictures Classics
tt0101371,"$6,375,979",,Orion Pictures
tt0103800,"$58,099",,MK2 US
tt0103596,"$29,000,301",,Walt Disney Studios Motion Pictures
tt0103594,"$7,191,399","$47,000,000",Paramount Pictures
tt0102032,$904,"$300,000",Greycat Film
tt0102307,"$1,055,987","$5,000,000",Fine Line Features
tt0102343,"$754,935",,Twentieth Century Fox
tt0102443,"$1,526,697",,Intersta
tt0101625,"$8,669,847",,Metro-Goldwyn-Mayer (MGM)
tt0101316,"$5,013,090",,Metro-Goldwyn-Mayer (MGM)
tt0104139,"$8,403,433",,Universal Pictures
tt0104030,"$479,676",,Walt Disney Studios Motion Pictures
tt0103994,"$21,744,201",,Miramax
tt0104006,"$21,591,728",,Walt Disney Studios Motion Pictures
tt0104008,"$52,431",,Big World Pictures
tt0104009,"$14,110,589",,Paramount Pictures
tt0104029,"$621,392",,October Films
tt0104036,"$62,548,947",,Miramax
tt0103827,"$3,104,545",,Walt Disney Studios Motion Pictures
tt0104040,"$25,105,517",,Metro-Goldwyn-Mayer (MGM)
tt0104070,"$149,022,650","$55,000,000",Universal Pictures
tt0104073,"$16,639,799",,New Line Cinema
tt0104107,"$4,836,637",,Metro-Goldwyn-Mayer (MGM)
tt0104114,"$46,666,502",,Walt Disney Studios Motion Pictures
tt0103978,"$13,272,113",,Warner Bros.
tt0103855,"$411,046,449",,Warner Bros.
tt0103859,"$131,052,444","$42,000,000",Paramount Pictures
tt0103872,"$918,239",,Paramount Pictures
tt0103873,"$242,623",,Trimark Pictures
tt0103874,"$215,862,692","$40,000,000",Columbia Pictures
tt0103893,"$16,624,456",,Twentieth Century Fox
tt0103905,"$205,569",,Roxie Releasing
tt0103919,"$25,795,897",,TriStar Pictures
tt0103924,"$22,518,097",,Walt Disney Studios Motion Pictures
tt0103935,"$28,791",,Big World Pictures
tt0103939,"$9,493,259",,TriStar Pictures
tt0103962,"$8,251,071","$40,000,000",Warner Bros.
tt0103976,"$14,683,921",,TriStar Pictures
tt0104782,"$611,703",,Fine Line Features
tt0104797,"$48,169,910",,Warner Bros.
tt0105665,"$4,234,707",,New Line Cinema
tt0105682,"$1,605,437",,October Films
tt0105690,"$156,563,139",,Warner Bros.
tt0105695,"$159,167,799",,Warner Bros.
tt0105698,"$36,299,898",,TriStar Pictures
tt0105699,"$57,138,719",,Twentieth Century Fox
tt0105719,"$5,900",,Metro-Goldwyn-Mayer (MGM)
tt0105790,"$1,100,218",,Fine Line Features
tt0105793,"$183,097,323","$20,000,000",Paramount Pictures
tt0105810,"$390,152",,New Line Cinema
tt0105811,"$11,124,511",,Paramount Pictures
tt0105812,"$90,753,806",,Twentieth Century Fox
tt0105636,"$13,249,535",,Universal Pictures
tt0105629,"$23,278,931",,Twentieth Century Fox
tt0105622,"$277,845",,Northern Arts Entertainment
tt0105450,"$1,373,196",,Warner Bros.
tt0105459,"$5,430,822",,Intersta
tt0105466,"$10,736,401",,Warner Bros.
tt0105477,"$70,611,210",,Universal Pictures
tt0105483,"$12,282,994",,Walt Disney Studios Motion Pictures
tt0105488,"$11,749,595",,Miramax
tt0105572,"$20,194",,Warner Bros.
tt0105585,"$22,660,758",,TriStar Pictures
